Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name,label
795.28,0.0,1590.57,2.0,1.0,0.0,2.288005,2.288005,1.143919,2.287837,0.000168,13.37,0.0,0.0,0.0,1.0,1.0
0.0,0.0,302.22,1.0,1.0,0.0,1.0,1.0,0.99938,0.99938,0.00062,0.0,0.0,0.0,0.0,0.0,0.0
5.47,3681.97,276558.05,75.0,75.0,0.0,0.16816,0.115834,0.114566,8.59242739,0.095120293,1e-12,0.0,0.0,0.0,1.0,0.0
2374.69,6167.25,848740.58,12.0,133.0,0.0,1.32,0.201371,1.289758,15.4771,11.30521727,17283.80321,0.0,0.0,0.0,16.0,0.0
12.06,6.38,120509.87,9992.0,8.0,0.0,5.0,2.37375,0.789347,7887.15342399999,-7868.16342399999,2667.835212,0.0,0.0,0.0,12.0,0.0
0.0,0.0,16.1,1.0,1.0,0.0,5.0,5.0,4.999418,4.999418468,0.000581532,0.0,0.0,0.0,0.0,0.0,0.0
154.77,0.0,309.53,2.0,1.0,0.0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.97,40.97,1.0,2.0,0.0,0.050844,0.027945,0.055014,0.055013997,0.000876568,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.93,1.0,1.0,0.0,0.132052,0.132052,0.131581,0.131580834,0.000471636,0.0,0.0,0.0,0.0,0.0,0.0
5.3,2675.37,5361.33,2.0,2.0,0.0,5.0,2.501895,2.50115,5.002299482,0.001491,0.0,0.0,0.0,0.0,0.0,0.0
0.0,791.88,270209.42,1.0,2.0,0.0,70.0,65.0,129.99916,129.99916,0.00084,4775.41468,0.0,0.0,0.0,8.0,0.0
3006.86,4005.52,988908.52,201.0,96.0,0.0,10.0,1.403574,0.674852999999999,135.6455,-0.902435158,974114081.0,44888.04861,0.0,16.0,53.0,0.0
549.32,4302.25,88334.5,12.0,19.0,0.0,0.4,0.136606,0.235975,2.83170313,-0.23618544,100.0,0.0,0.0,0.0,1.0,1.0
106.83,0.03,320.58,3.0,3.0,0.0,56.558992,33.666667,33.666022,100.9980675,0.001932506,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,190.77,1.0,1.0,0.0,0.0713299999999999,0.0713299999999999,0.06913,0.06912983,0.0022,0.0,0.0,0.0,0.0,0.0,0.0
14.78,10.53,65.4,3.0,2.0,0.0,79.123501,50.5,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0
